Fall,College,Degree,Major Name,Concentration Name,Total,Male,Female,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown.1,All African American,All Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois
1986,Business,,Accountancy,,139,85,54,5,79,10,7,1,0,0,0,37,0,0,0,0,0,79,60
1987,Business,,Accountancy,,904,430,474,4,773,48,60,15,0,0,0,4,0,0,0,0,0,870,34
1987,Business,,Accountancy,,135,74,61,2,74,11,3,2,0,0,0,43,0,0,0,0,0,76,59
1988,Business,,Accountancy,,"1,019",491,528,8,830,67,75,28,0,0,0,11,0,0,0,0,0,972,47
1988,Business,,Accountancy,,117,63,54,0,57,6,1,3,0,0,0,50,0,0,0,0,0,50,67
1989,Business,,Accountancy,,976,484,492,7,760,69,85,40,1,0,0,14,0,0,0,0,0,923,53
1989,Business,,Accountancy,,109,60,49,0,59,7,0,2,0,0,0,41,0,0,0,0,0,52,57
1990,Business,,Accountancy,,"1,087",553,534,9,799,113,106,41,1,0,0,18,0,0,0,0,0,"1,016",71
1990,Business,,Accountancy,,93,60,33,1,44,9,2,1,0,0,0,36,0,0,0,0,0,39,54
1991,Business,,Accountancy,,"1,138",563,575,4,836,130,91,53,1,0,0,23,0,0,0,0,0,"1,067",71
1991,Business,,Accountancy,,115,63,52,4,58,12,2,2,0,0,0,37,0,0,0,0,0,55,60
1992,Business,,Accountancy,,"1,136",573,563,9,821,140,88,52,1,0,0,25,0,0,0,0,0,"1,069",67
1992,Business,,Accountancy,,147,87,60,2,66,13,3,2,0,0,0,61,0,0,0,0,0,54,93
1993,Business,,Accountancy,,"1,134",588,546,7,829,139,79,46,1,0,0,33,0,0,0,0,0,"1,063",71
1993,Business,,Accountancy,,125,80,45,2,58,10,2,2,0,0,0,51,0,0,0,0,0,46,79
1994,Business,,Accountancy,,"1,041",525,516,6,765,130,58,43,1,0,0,38,0,0,0,0,0,953,88
1994,Business,,Accountancy,,109,47,62,2,45,12,3,2,0,0,0,45,0,0,0,0,0,43,66
1995,Business,,Accountancy,,"1,027",525,502,5,755,138,55,41,2,0,0,31,0,0,0,0,0,944,83
1995,Business,,Accountancy,,107,56,51,1,43,14,3,0,0,0,0,46,0,0,0,0,0,43,64
1996,Business,,Accountancy,,977,501,476,2,711,130,59,39,1,0,0,35,0,0,0,0,0,886,91
1996,Business,,Accountancy,,116,50,66,1,34,7,4,0,0,0,0,70,0,0,0,0,0,27,89
1997,Business,,Accountancy,,893,456,437,2,625,116,68,45,1,0,0,36,0,0,0,0,0,803,90
1997,Business,,Accountancy,,31,18,13,0,12,2,0,0,0,0,0,17,0,0,0,0,0,5,26
1998,Business,,Accountancy,,855,430,425,2,613,112,55,37,0,0,0,36,0,0,0,0,0,776,79
1998,Business,,Accountancy,,16,11,5,1,5,4,0,0,0,0,0,6,0,0,0,0,0,4,12
1999,Business,,Accountancy,,790,399,391,3,571,104,40,36,1,0,0,35,0,0,0,0,0,711,79
1999,Business,,Accountancy,,22,13,9,0,7,4,0,0,0,0,0,11,0,0,0,0,0,4,18
2000,Business,,Accountancy,,719,347,372,5,499,101,42,34,1,0,0,37,0,0,0,0,0,643,76
2000,Business,,Accountancy,,16,10,6,0,6,4,0,0,0,0,0,6,0,0,0,0,0,4,12
2001,Business,,Accountancy,,664,313,351,6,439,97,34,41,1,0,0,46,0,0,0,0,0,590,74
2001,Business,,Accountancy,,18,11,7,2,4,2,0,0,0,0,0,10,0,0,0,0,0,3,15
2002,Business,,Accountancy,,796,401,395,16,527,117,28,46,1,0,0,61,0,0,0,0,0,695,101
2002,Business,,Accountancy,,20,13,7,2,6,2,1,0,0,0,0,9,0,0,0,0,0,3,17
1997,Business,,Accountancy,International Program,34,18,16,1,0,0,0,0,0,0,0,33,0,0,0,0,0,0,34
1998,Business,,Accountancy,International Program,54,31,23,3,0,1,0,1,0,0,0,49,0,0,0,0,0,2,52
1999,Business,,Accountancy,International Program,48,27,21,1,0,1,0,0,0,0,0,46,0,0,0,0,0,1,47
2000,Business,,Accountancy,International Program,75,45,30,2,0,1,0,0,0,0,0,72,0,0,0,0,0,1,74
2001,Business,,Accountancy,International Program,78,42,36,3,0,1,0,0,0,0,0,74,0,0,0,0,0,1,77
2002,Business,,Accountancy,International Program,85,46,39,1,2,1,0,0,0,0,0,81,0,0,0,0,0,2,83
1997,Business,,Accountancy,Accountancy (BS/Master Prg),23,15,8,0,5,1,0,0,0,0,0,17,0,0,0,0,0,5,18
1998,Business,,Accountancy,Accountancy (BS/Master Prg),19,9,10,1,7,2,0,0,0,0,0,9,0,0,0,0,0,6,13
1999,Business,,Accountancy,Accountancy (BS/Master Prg),10,5,5,1,3,2,0,0,0,0,0,4,0,0,0,0,0,4,6
2000,Business,,Accountancy,Accountancy (BS/Master Prg),28,15,13,17,5,0,0,1,0,0,0,5,0,0,0,0,0,5,23
2001,Business,,Accountancy,Accountancy (BS/Master Prg),117,59,58,12,87,10,1,2,0,0,0,5,0,0,0,0,0,79,38
2002,Business,,Accountancy,Accountancy (BS/Master Prg),90,45,45,0,65,12,1,1,0,0,0,11,0,0,0,0,0,74,16
1997,Business,,Accountancy,Tax,15,4,11,0,7,1,2,1,0,0,0,4,0,0,0,0,0,9,6
1998,Business,,Accountancy,Tax,8,2,6,1,2,2,0,0,0,0,0,3,0,0,0,0,0,3,5
1999,Business,,Accountancy,Tax,17,10,7,1,8,4,1,0,0,0,0,3,0,0,0,0,0,8,9
2000,Business,,Accountancy,Tax,9,6,3,1,6,1,0,0,0,0,0,1,0,0,0,0,0,5,4
2001,Business,,Accountancy,Tax,28,15,13,2,19,4,0,1,0,0,0,2,0,0,0,0,0,25,3
2002,Business,,Accountancy,Tax,42,23,19,4,30,7,0,0,0,0,0,1,0,0,0,0,0,39,3
2001,Business,,Accountancy,Accountancy Postb,4,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2002,Business,,Accountancy,Accountancy Postb,16,9,7,0,9,4,1,1,0,0,0,1,0,0,0,0,0,14,2
2001,Business,,Accountancy,Accountancy (BS/Master Prg),92,46,46,0,71,16,1,2,0,0,0,2,0,0,0,0,0,83,9
2002,Business,,Accountancy,Accountancy (BS/Master Prg),90,36,54,1,68,13,2,3,0,0,0,3,0,0,0,0,0,83,7
2000,LAS,,Actuarial Science,,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0
2001,LAS,,Actuarial Science,,14,10,4,1,1,2,1,0,0,0,0,9,0,0,0,0,0,5,9
2002,LAS,,Actuarial Science,,21,9,12,1,1,0,0,0,0,0,0,19,0,0,0,0,0,2,19
2003,LAS,,Actuarial Science,,19,5,14,0,2,1,0,0,0,0,0,16,0,0,0,0,0,3,16
1980,Media,,Advertising,,44,24,20,0,7,0,4,32,1,0,0,19,0,0,0,0,0,0,25
1980,Media,,Advertising,,196,53,143,0,0,1,5,187,3,0,0,5,0,0,0,0,0,0,191
1981,Media,,Advertising,,37,20,17,0,27,1,2,0,0,0,0,7,0,0,0,0,0,22,15
1981,Media,,Advertising,,197,49,148,0,192,4,0,1,0,0,0,0,0,0,0,0,0,193,4
1982,Media,,Advertising,,42,20,22,0,7,0,3,30,2,0,0,18,0,0,0,0,0,0,24
1982,Media,,Advertising,,206,58,148,0,0,0,2,202,2,0,0,3,0,0,0,0,0,0,203
1983,Media,,Advertising,,46,18,28,0,34,1,2,0,0,0,0,9,0,0,0,0,0,31,15
1983,Media,,Advertising,,207,61,146,0,196,2,8,1,0,0,0,0,0,0,0,0,0,203,4
1984,Media,,Advertising,,46,14,32,1,8,0,1,34,2,0,0,15,0,0,0,0,0,0,31
1984,Media,,Advertising,,211,64,147,1,1,1,5,200,3,0,0,6,0,0,0,0,0,0,205
1985,Media,,Advertising,,37,18,19,0,24,0,1,0,0,0,0,12,0,0,0,0,0,17,20
1985,Media,,Advertising,,213,61,152,1,207,3,2,0,0,0,0,0,0,0,0,0,0,206,7
1986,Media,,Advertising,,39,20,19,1,26,0,0,0,0,0,0,12,0,0,0,0,0,20,19
1986,Media,,Advertising,,217,55,162,1,208,8,0,0,0,0,0,0,0,0,0,0,0,213,4
1987,Media,,Advertising,,45,24,21,0,34,0,1,0,1,0,0,9,0,0,0,0,0,28,17
1987,Media,,Advertising,,221,47,174,1,201,0,14,0,5,0,0,0,0,0,0,0,0,219,2
1988,Media,,Advertising,,50,21,29,0,34,0,2,0,0,0,0,14,0,0,0,0,0,24,26
1988,Media,,Advertising,,212,46,166,0,193,12,4,1,2,0,0,0,0,0,0,0,0,207,5
1989,Media,,Advertising,,48,16,32,1,28,2,1,0,0,0,0,16,0,0,0,0,0,21,27
1989,Media,,Advertising,,214,51,163,0,195,7,8,4,0,0,0,0,0,0,0,0,0,207,7
1990,Media,,Advertising,,40,17,23,0,20,3,2,1,0,0,0,14,0,0,0,0,0,17,23
1990,Media,,Advertising,,214,57,157,0,182,6,19,6,1,0,0,0,0,0,0,0,0,208,6
1991,Media,,Advertising,,35,15,20,0,17,2,4,2,0,0,0,10,0,0,0,0,0,20,15
1991,Media,,Advertising,,235,61,174,0,192,5,29,7,2,0,0,0,0,0,0,0,0,230,5
1992,Media,,Advertising,,38,10,28,0,24,2,5,0,0,0,0,7,0,0,0,0,0,25,13
1992,Media,,Advertising,,199,65,134,0,154,16,23,6,0,0,0,0,0,0,0,0,0,190,9
1993,Media,,Advertising,,28,7,21,1,13,1,2,0,0,0,0,11,0,0,0,0,0,14,14
1993,Media,,Advertising,,207,68,139,0,152,26,23,6,0,0,0,0,0,0,0,0,0,195,12
1994,Media,,Advertising,,34,10,24,1,14,0,2,0,0,0,0,17,0,0,0,0,0,13,21
1994,Media,,Advertising,,225,73,152,1,169,22,17,14,0,0,0,2,0,0,0,0,0,215,10
1995,Media,,Advertising,,30,10,20,0,12,1,1,1,0,0,0,15,0,0,0,0,0,12,18
1995,Media,,Advertising,,194,69,125,2,150,16,9,13,0,0,0,4,0,0,0,0,0,186,8
1996,Media,,Advertising,,37,14,23,0,24,0,3,1,0,0,0,9,0,0,0,0,0,18,19
1996,Media,,Advertising,,198,91,107,3,156,15,11,12,0,0,0,1,0,0,0,0,0,188,10
1997,Media,,Advertising,,41,18,23,1,18,2,3,2,0,0,0,15,0,0,0,0,0,16,25
1997,Media,,Advertising,,232,95,137,3,179,20,12,12,0,0,0,6,0,0,0,0,0,212,20
1998,Media,,Advertising,,239,77,162,2,176,22,19,13,1,0,0,6,0,0,0,0,0,219,20
1998,Media,,Advertising,,36,14,22,1,11,1,1,2,0,0,0,20,0,0,0,0,0,13,23
1999,Media,,Advertising,,26,12,14,0,11,2,1,0,0,0,0,12,0,0,0,0,0,11,15
1999,Media,,Advertising,,265,89,176,2,196,22,32,11,1,0,0,1,0,0,0,0,0,253,12
2000,Media,,Advertising,,29,11,18,0,13,1,6,0,0,0,0,9,0,0,0,0,0,17,12
2000,Media,,Advertising,,265,76,189,2,200,24,22,15,0,0,0,2,0,0,0,0,0,249,16
2001,Media,,Advertising,,22,6,16,0,11,1,2,1,0,0,0,7,0,0,0,0,0,12,10
2001,Media,,Advertising,,290,73,217,5,236,21,15,11,0,0,0,2,0,0,0,0,0,275,15
2002,Media,,Advertising,,28,9,19,0,12,2,3,0,0,0,0,11,0,0,0,0,0,15,13
2002,Media,,Advertising,,283,64,219,10,220,23,16,12,0,0,0,2,0,0,0,0,0,269,14
2003,Media,,Advertising,,35,13,22,2,14,1,2,0,0,0,0,16,0,0,0,0,0,15,20
2003,Media,,Advertising,,278,66,212,8,200,32,16,15,0,0,0,7,0,0,0,0,0,256,22
1980,Engineering,,Aero & Astro Engineering,,330,308,22,0,303,14,7,3,1,0,0,2,0,0,0,0,0,305,25
1980,Engineering,,Aero & Astro Engineering,,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0
1980,Engineering,,Aero & Astro Engineering,,15,10,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,14,1
1980,Engineering,,Aero & Astro Engineering,,31,30,1,0,19,1,0,0,0,0,0,11,0,0,0,0,0,15,16
1981,Engineering,,Aero & Astro Engineering,,380,356,24,0,349,19,8,3,1,0,0,0,0,0,0,0,0,360,20
1981,Engineering,,Aero & Astro Engineering,,14,11,3,0,13,1,0,0,0,0,0,0,0,0,0,0,0,13,1
1981,Engineering,,Aero & Astro Engineering,,41,38,3,1,25,1,0,0,0,0,0,14,0,0,0,0,0,21,20
1982,Engineering,,Aero & Astro Engineering,,408,377,31,0,372,25,4,6,1,0,0,0,0,0,0,0,0,383,25
1982,Engineering,,Aero & Astro Engineering,,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1982,Engineering,,Aero & Astro Engineering,,19,16,3,0,17,2,0,0,0,0,0,0,0,0,0,0,0,17,2
1982,Engineering,,Aero & Astro Engineering,,51,49,2,1,33,3,2,0,0,0,0,12,0,0,0,0,0,29,22
1983,Engineering,,Aero & Astro Engineering,,410,367,43,0,376,19,5,9,1,0,0,0,0,0,0,0,0,382,28
1983,Engineering,,Aero & Astro Engineering,,16,15,1,0,14,2,0,0,0,0,0,0,0,0,0,0,0,14,2
1983,Engineering,,Aero & Astro Engineering,,47,46,1,1,35,3,0,1,0,0,0,7,0,0,0,0,0,30,17
1984,Engineering,,Aero & Astro Engineering,,450,400,50,1,408,24,6,9,0,0,0,2,0,0,0,0,0,414,36
1984,Engineering,,Aero & Astro Engineering,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1984,Engineering,,Aero & Astro Engineering,,11,11,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,9,2
1984,Engineering,,Aero & Astro Engineering,,32,32,0,0,24,2,0,1,0,0,0,5,0,0,0,0,0,21,11
1985,Engineering,,Aero & Astro Engineering,,571,515,56,2,513,34,10,9,0,0,0,3,0,0,0,0,0,531,40
1985,Engineering,,Aero & Astro Engineering,,6,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,1
1985,Engineering,,Aero & Astro Engineering,,12,12,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,10,2
1985,Engineering,,Aero & Astro Engineering,,29,27,2,0,23,0,0,0,0,0,0,6,0,0,0,0,0,16,13
1986,Engineering,,Aero & Astro Engineering,,520,469,51,1,470,27,9,9,0,0,0,4,0,0,0,0,0,482,38
1986,Engineering,,Aero & Astro Engineering,,11,8,3,0,6,2,1,2,0,0,0,0,0,0,0,0,0,10,1
1986,Engineering,,Aero & Astro Engineering,,17,16,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,14,3
1986,Engineering,,Aero & Astro Engineering,,51,47,4,0,39,0,1,0,0,0,0,11,0,0,0,0,0,26,25
1987,Engineering,,Aero & Astro Engineering,,558,502,56,3,485,35,14,17,0,0,0,4,0,0,0,0,0,507,51
1987,Engineering,,Aero & Astro Engineering,,14,13,1,0,12,2,0,0,0,0,0,0,0,0,0,0,0,13,1
1987,Engineering,,Aero & Astro Engineering,,16,16,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,14,2
1987,Engineering,,Aero & Astro Engineering,,67,64,3,1,40,4,1,3,0,0,0,18,0,0,0,0,0,32,35
1988,Engineering,,Aero & Astro Engineering,,494,443,51,1,424,37,14,16,0,0,0,2,0,0,0,0,0,465,29
1988,Engineering,,Aero & Astro Engineering,,16,14,2,0,9,4,2,1,0,0,0,0,0,0,0,0,0,16,0
1988,Engineering,,Aero & Astro Engineering,,21,21,0,0,18,1,1,1,0,0,0,0,0,0,0,0,0,16,5
1988,Engineering,,Aero & Astro Engineering,,79,74,5,0,48,6,1,2,0,0,0,22,0,0,0,0,0,43,36
1989,Engineering,,Aero & Astro Engineering,,403,359,44,3,334,23,16,24,1,0,0,2,0,0,0,0,0,360,43
1989,Engineering,,Aero & Astro Engineering,,14,11,3,0,11,2,1,0,0,0,0,0,0,0,0,0,0,14,0
1989,Engineering,,Aero & Astro Engineering,,27,25,2,0,21,5,0,1,0,0,0,0,0,0,0,0,0,26,1
1989,Engineering,,Aero & Astro Engineering,,69,65,4,0,41,7,0,1,0,0,0,20,0,0,0,0,0,35,34
1990,Engineering,,Aero & Astro Engineering,,382,342,40,3,305,32,15,26,1,0,0,0,0,0,0,0,0,338,44
1990,Engineering,,Aero & Astro Engineering,,5,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0
1990,Engineering,,Aero & Astro Engineering,,24,21,3,0,19,4,0,1,0,0,0,0,0,0,0,0,0,21,3
1990,Engineering,,Aero & Astro Engineering,,68,63,5,1,37,6,0,1,0,0,0,23,0,0,0,0,0,28,40
1991,Engineering,,Aero & Astro Engineering,,333,297,36,2,263,34,15,18,0,0,0,1,0,0,0,0,0,292,41
1991,Engineering,,Aero & Astro Engineering,,5,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0
1991,Engineering,,Aero & Astro Engineering,,26,22,4,0,22,3,0,1,0,0,0,0,0,0,0,0,0,22,4
1991,Engineering,,Aero & Astro Engineering,,78,74,4,1,49,1,0,1,1,0,0,25,0,0,0,0,0,35,43
1992,Engineering,,Aero & Astro Engineering,,291,255,36,0,230,34,13,13,0,0,0,1,0,0,0,0,0,256,35
1992,Engineering,,Aero & Astro Engineering,,4,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0
1992,Engineering,,Aero & Astro Engineering,,28,23,5,0,22,5,0,1,0,0,0,0,0,0,0,0,0,22,6
1992,Engineering,,Aero & Astro Engineering,,69,65,4,0,48,0,0,1,0,0,0,20,0,0,0,0,0,30,39
1993,Engineering,,Aero & Astro Engineering,,280,244,36,3,227,27,8,13,0,0,0,2,0,0,0,0,0,251,29
1993,Engineering,,Aero & Astro Engineering,,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1993,Engineering,,Aero & Astro Engineering,,20,16,4,0,16,3,0,1,0,0,0,0,0,0,0,0,0,14,6
1993,Engineering,,Aero & Astro Engineering,,64,60,4,1,42,1,1,0,0,0,0,19,0,0,0,0,0,28,36
1994,Engineering,,Aero & Astro Engineering,,249,214,35,1,199,27,5,12,0,0,0,5,0,0,0,0,0,217,32
1994,Engineering,,Aero & Astro Engineering,,10,8,2,0,6,3,0,1,0,0,0,0,0,0,0,0,0,8,2
1994,Engineering,,Aero & Astro Engineering,,61,58,3,1,41,2,1,0,0,0,0,16,0,0,0,0,0,29,32
1995,Engineering,,Aero & Astro Engineering,,217,189,28,0,175,23,6,8,0,0,0,5,0,0,0,0,0,187,30
1995,Engineering,,Aero & Astro Engineering,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1995,Engineering,,Aero & Astro Engineering,,10,8,2,0,7,2,1,0,0,0,0,0,0,0,0,0,0,8,2
1995,Engineering,,Aero & Astro Engineering,,58,54,4,0,41,2,1,1,0,0,0,13,0,0,0,0,0,27,31
1996,Engineering,,Aero & Astro Engineering,,194,155,39,0,155,18,6,9,0,0,0,6,0,0,0,0,0,158,36
1996,Engineering,,Aero & Astro Engineering,,10,7,3,0,7,2,1,0,0,0,0,0,0,0,0,0,0,8,2
1996,Engineering,,Aero & Astro Engineering,,54,50,4,2,33,3,1,2,0,0,0,13,0,0,0,0,0,22,32
1997,Engineering,,Aero & Astro Engineering,,212,169,43,1,164,23,8,11,0,0,0,5,0,0,0,0,0,171,41
1997,Engineering,,Aero & Astro Engineering,,6,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,1
1997,Engineering,,Aero & Astro Engineering,,61,53,8,2,32,5,0,3,0,0,0,19,0,0,0,0,0,21,40
1998,Engineering,,Aero & Astro Engineering,,223,175,48,2,167,20,11,14,1,0,0,8,0,0,0,0,0,184,39
1998,Engineering,,Aero & Astro Engineering,,7,3,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,5,2
1998,Engineering,,Aero & Astro Engineering,,69,60,9,1,31,5,0,3,0,0,0,29,0,0,0,0,0,21,48
1999,Engineering,,Aero & Astro Engineering,,267,203,64,6,201,31,12,12,1,0,0,4,0,0,0,0,0,226,41
1999,Engineering,,Aero & Astro Engineering,,7,2,5,0,6,0,0,1,0,0,0,0,0,0,0,0,0,5,2
1999,Engineering,,Aero & Astro Engineering,,69,64,5,1,29,3,0,2,0,0,0,34,0,0,0,0,0,24,45
2000,Engineering,,Aero & Astro Engineering,,302,242,60,8,228,36,7,16,1,0,0,6,0,0,0,0,0,257,45
2000,Engineering,,Aero & Astro Engineering,,3,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2
2000,Engineering,,Aero & Astro Engineering,,11,6,5,0,7,1,1,2,0,0,0,0,0,0,0,0,0,7,4
2000,Engineering,,Aero & Astro Engineering,,62,57,5,3,22,3,0,2,0,0,0,32,0,0,0,0,0,20,42
2001,Engineering,,Aero & Astro Engineering,,331,279,52,9,251,36,5,17,1,0,0,12,0,0,0,0,0,278,53
2001,Engineering,,Aero & Astro Engineering,,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2001,Engineering,,Aero & Astro Engineering,,10,6,4,0,7,0,1,2,0,0,0,0,0,0,0,0,0,6,4
2001,Engineering,,Aero & Astro Engineering,,69,58,11,4,32,2,0,2,0,0,0,29,0,0,0,0,0,25,44
2002,Engineering,,Aero & Astro Engineering,,337,277,60,8,258,41,4,15,0,0,0,11,0,0,0,0,0,280,57
2002,Engineering,,Aero & Astro Engineering,,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2002,Engineering,,Aero & Astro Engineering,,10,5,5,0,8,0,1,1,0,0,0,0,0,0,0,0,0,6,4
2002,Engineering,,Aero & Astro Engineering,,79,66,13,2,39,1,0,2,0,0,0,35,0,0,0,0,0,31,48
2003,Engineering,,Aero & Astro Engineering,,329,267,62,7,253,40,6,14,0,0,0,9,0,0,0,0,0,285,44
2003,Engineering,,Aero & Astro Engineering,,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2003,Engineering,,Aero & Astro Engineering,,4,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2003,Engineering,,Aero & Astro Engineering,,82,72,10,3,42,3,1,5,0,0,0,28,0,0,0,0,0,38,44
2006,Engineering,BS,Aero & Astro Engineering,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2006,Engineering,MS,Aero & Astro Engineering,,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2006,Engineering,PHD,Aero & Astro Engineering,,20,17,3,0,9,1,0,0,0,0,0,9,1,0,0,0,0,5,15
2005,Engineering,MS,Aero & Astro Engineering,,25,24,1,0,20,1,1,0,0,0,0,3,0,0,0,0,0,14,11
2005,Engineering,PHD,Aero & Astro Engineering,,23,18,5,0,10,1,0,0,0,0,0,12,0,0,0,0,0,5,18
2004,Engineering,BS,Aero & Astro Engineering,,361,298,63,0,279,38,7,12,0,0,0,13,12,0,0,0,0,307,54
2004,Engineering,MS,Aero & Astro Engineering,,45,39,5,1,33,2,1,4,0,0,0,5,0,0,0,0,0,28,17
2004,Engineering,PHD,Aero & Astro Engineering,,27,22,5,0,13,0,0,0,0,0,0,14,0,0,0,0,0,5,22
2018,Engineering,BS,Aerospace Engineering,,519,440,79,0,266,101,6,51,1,0,17,73,4,6,3,2,119,339,180
2018,Engineering,MS,Aerospace Engineering,,70,58,12,0,20,9,3,9,0,0,3,26,0,5,0,0,11,18,52
2018,Engineering,MS,Aerospace Engineering,,25,20,5,0,20,2,0,2,0,0,0,0,1,0,0,0,2,3,22
2018,Engineering,MS,Aerospace Engineering,Computational Sci & Engr,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2018,Engineering,NDEG,Aerospace Engineering,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2018,Engineering,PHD,Aerospace Engineering,,66,57,9,0,20,5,0,2,0,0,1,38,0,0,0,0,6,13,53
2018,Engineering,PHD,Aerospace Engineering,Computational Sci & Engr,3,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2
2017,Engineering,BS,Aerospace Engineering,,518,438,80,0,272,100,6,54,1,0,19,62,4,7,5,1,117,353,165
2017,Engineering,MS,Aerospace Engineering,,97,86,11,0,36,13,2,8,0,0,1,37,0,4,0,0,14,32,65
2017,Engineering,MS,Aerospace Engineering,,29,26,3,0,21,4,0,2,0,0,0,0,2,0,0,0,5,7,22
2017,Engineering,MS,Aerospace Engineering,Computational Sci & Engr,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
2017,Engineering,NDEG,Aerospace Engineering,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2017,Engineering,PHD,Aerospace Engineering,,66,57,9,0,20,3,0,1,0,0,1,41,0,0,0,0,4,15,51
2017,Engineering,PHD,Aerospace Engineering,Computational Sci & Engr,3,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2
2016,Engineering,BS,Aerospace Engineering,,502,433,69,0,261,96,7,59,1,0,24,50,4,8,5,2,118,344,158
2016,Engineering,MS,Aerospace Engineering,,98,85,13,0,32,10,1,5,0,0,1,48,1,2,1,0,11,26,72
